code,name,section
A010040,한국내화,KOSPI
A010050,우리종금,KOSPI
A010060,OCI,KOSPI
A010100,한국프랜지,KOSPI
A010120,LS ELECTRIC,KOSPI
A010130,고려아연,KOSPI
A010140,삼성중공업,KOSPI
A010145,삼성중공우,KOSPI
A010400,우진아이엔에스,KOSPI
A010420,한솔PNS,KOSPI
A010580,지코,KOSPI
A010600,웰바이오텍,KOSPI
A010620,현대미포조선,KOSPI
A010640,진양폴리,KOSPI
A010660,화천기계,KOSPI
A010690,화신,KOSPI
A010770,평화홀딩스,KOSPI
A010780,아이에스동서,KOSPI
A010820,퍼스텍,KOSPI
A010950,S-Oil,KOSPI
A010955,S-Oil우,KOSPI
A010960,삼호개발,KOSPI
A011000,진원생명과학,KOSPI
A011070,LG이노텍,KOSPI
A011090,에넥스,KOSPI
A011150,CJ씨푸드,KOSPI
A011155,CJ씨푸드1우,KOSPI
A011170,롯데케미칼,KOSPI
A011200,HMM,KOSPI
A011210,현대위아,KOSPI
A011230,삼화전자,KOSPI
A011280,태림포장,KOSPI
A011300,성안,KOSPI
A011330,유니켐,KOSPI
A011390,부산산업,KOSPI
A011420,갤럭시아에스엠,KOSPI
A011500,한농화성,KOSPI
A011690,와이투솔루션,KOSPI
A011700,한신기계,KOSPI
A011760,현대코퍼레이션,KOSPI
A011780,금호석유,KOSPI
A011785,금호석유우,KOSPI
A011790,SKC,KOSPI
A011810,STX,KOSPI
A011930,신성이엔지,KOSPI
A012030,DB,KOSPI
A012160,영흥,KOSPI
A012170,아센디오,KOSPI
A012200,계양전기,KOSPI
A012205,계양전기우,KOSPI
A012280,영화금속,KOSPI
A012320,경동인베스트,KOSPI
A012330,현대모비스,KOSPI
A012450,한화에어로스페이스,KOSPI
A012510,더존비즈온,KOSPI
A012600,센트럴인사이트,KOSPI
A012610,경인양행,KOSPI
A012630,HDC,KOSPI
A012690,모나리자,KOSPI
A012750,에스원,KOSPI
A012800,대창,KOSPI
A013000,세우글로벌,KOSPI
A013360,일성건설,KOSPI
A013520,화승코퍼레이션,KOSPI
A013570,디와이,KOSPI
A013580,계룡건설,KOSPI
A013700,까뮤이앤씨,KOSPI
A013870,지엠비코리아,KOSPI
A013890,지누스,KOSPI
A014130,한익스프레스,KOSPI
A014160,대영포장,KOSPI
A014280,금강공업,KOSPI
A014285,금강공업우,KOSPI
A014440,영보화학,KOSPI
A014530,극동유화,KOSPI
A014580,태경비케이,KOSPI
A014680,한솔케미칼,KOSPI
A014710,사조씨푸드,KOSPI
A014790,한라,KOSPI
A014820,동원시스템즈,KOSPI
A014825,동원시스템즈우,KOSPI
A014830,유니드,KOSPI
A014910,성문전자,KOSPI
A014915,성문전자우,KOSPI
A014990,인디에프,KOSPI
A015020,이스타코,KOSPI
A015230,대창단조,KOSPI
A015260,에이엔피,KOSPI
A015350,부산가스,KOSPI
A015360,예스코홀딩스,KOSPI
A015540,쎌마테라퓨틱스,KOSPI
A015590,큐로,KOSPI
A015760,한국전력,KOSPI
A015860,일진홀딩스,KOSPI
A015890,태경산업,KOSPI
A016090,대현,KOSPI
A016360,삼성증권,KOSPI
A016380,KG동부제철,KOSPI
A016385,KG동부제철우,KOSPI
A016450,한세예스24홀딩스,KOSPI
A016580,환인제약,KOSPI
A016590,신대양제지,KOSPI
A016610,DB금융투자,KOSPI
A016710,대성홀딩스,KOSPI
A016740,두올,KOSPI
A016800,퍼시스,KOSPI
